,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
F.5,18,0.3312,0.4255,0.3792,0.5003,0.3955,0.3366,0.3697,0.481
F2,C,0.1896,0.3504,0.3235,0.5892,0.3962,0.3987,0.4973,0.4222
Gmean,S,0.2879,0.4373,0.4207,0.6937,0.549,0.5618,0.6441,0.5559
B_Acc,V,0.582,0.6641,0.6503,0.7928,0.6829,0.6809,0.7367,0.6857
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8778,0.8778,0.8778,0.5289,0.7622,0.7,0.7733,0.7356
F1,S,0,0,0.03333,0.2998,0.2533,0.2468,0.2314,0.2557
F.5,19,0,0,0.05556,0.2199,0.2264,0.1994,0.2195,0.2231
F2,C,0,0,0.02381,0.4741,0.3033,0.3309,0.2552,0.3104
Gmean,S,0,0,0.04472,0.5727,0.4467,0.4756,0.4245,0.4676
B_Acc,V,0.5,0.5,0.5088,0.6414,0.5973,0.5917,0.5613,0.5822
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9214,0.9258,0.9192,0.9345,0.917,0.893,0.8362,0.9105
F1,S,0.3705,0.3888,0.3756,0.6358,0.5087,0.4833,0.3483,0.5363
F.5,20,0.4768,0.4993,0.4672,0.6337,0.552,0.476,0.3049,0.5426
F2,C,0.3091,0.3282,0.3238,0.6486,0.4768,0.5047,0.4143,0.5407
Gmean,S,0.4644,0.4758,0.4768,0.7818,0.6599,0.6917,0.6279,0.7109
B_Acc,V,0.634,0.6452,0.6416,0.8132,0.712,0.7301,0.6788,0.7486
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.7208,0.7166,0.7361,0.6582,0.7189,0.5996,0.6821,0.6364
F1,S,0.5301,0.5127,0.5711,0.6292,0.5657,0.5961,0.602,0.6119
F.5,21,0.5789,0.5636,0.6095,0.5499,0.5853,0.5051,0.5555,0.5302
F2,C,0.4943,0.4795,0.5477,0.7381,0.5575,0.7284,0.6693,0.7258
Gmean,S,0.6259,0.6103,0.6595,0.6814,0.6569,0.6268,0.6753,0.6594
B_Acc,V,0.6631,0.6569,0.6893,0.7003,0.6807,0.66,0.6939,0.6821
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8489,0.8489,0.8532,0.7191,0.8128,0.7149,0.6277,0.6021
F1,S,0.045,0.08444,0.1317,0.432,0.2518,0.3405,0.3274,0.3489
F.5,22,0.07177,0.1193,0.1981,0.3589,0.2899,0.297,0.2656,0.2697
F2,C,0.03337,0.06559,0.0995,0.5496,0.2343,0.4089,0.4391,0.4969
Gmean,S,0.07464,0.1062,0.2025,0.698,0.3951,0.5906,0.5978,0.6364
