,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
F2,C,0.8311,0.8554,0.8275,0.8171,0.8933,0.7568,0.9038,0.9016,0.872
Gmean,S,0.8368,0.8548,0.8516,0.8463,0.8851,0.8199,0.8311,0.8932,0.8513
B_Acc,V,0.8401,0.8574,0.8539,0.8493,0.8878,0.8281,0.8463,0.8952,0.8562
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.7775,0.78,0.7625,0.8,0.6475,0.8225,0.475,0.7275,0.6475
F1,S,0.07818,0.08,0.1301,0.452,0.437,0.5557,0.4419,0.494,0.4415
F.5,17,0.1448,0.1538,0.1829,0.5352,0.3997,0.6158,0.337,0.4644,0.3976
F2,C,0.0537,0.05405,0.1017,0.4016,0.5061,0.5119,0.6423,0.5369,0.5113
Gmean,S,0.1328,0.1333,0.2207,0.5787,0.6047,0.6651,0.561,0.6597,0.6104
B_Acc,V,0.5174,0.519,0.5235,0.6502,0.6267,0.7041,0.6337,0.6744,0.6267
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9231,0.9256,0.9306,0.9306,0.9109,0.9158,0.854,0.8242,0.8343
F1,S,0.09,0.1667,0.2957,0.3795,0.374,0.301,0.3712,0.3301,0.362
F.5,18,0.1169,0.2095,0.3492,0.4159,0.3651,0.3253,0.3088,0.2632,0.2942
F2,C,0.07418,0.1436,0.2688,0.3587,0.3912,0.2925,0.4689,0.443,0.4747
Gmean,S,0.1147,0.196,0.3772,0.4775,0.5107,0.3984,0.6294,0.6193,0.6424
B_Acc,V,0.5306,0.5626,0.6224,0.6643,0.6801,0.6298,0.7258,0.7097,0.7305
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8778,0.8778,0.8778,0.8778,0.5511,0.8133,0.16,0.5533,0.6244
F1,S,0,0,0,0,0.2038,0.1891,0.222,0.2216,0.1779
F.5,19,0,0,0,0,0.1508,0.2155,0.1517,0.165,0.1401
F2,C,0,0,0,0,0.316,0.1855,0.4138,0.3391,0.251
Gmean,S,0,0,0,0,0.4827,0.3117,0.1205,0.5349,0.4157
B_Acc,V,0.5,0.5,0.5,0.5,0.5318,0.5459,0.5126,0.5435,0.5122
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9062,0.9062,0.9083,0.8995,0.8514,0.9038,0.7729,0.7423,0.7488
F1,S,0.1467,0.1467,0.2829,0.2798,0.4549,0.3504,0.3728,0.3495,0.3516
F.5,20,0.2222,0.2222,0.3721,0.3258,0.3862,0.4121,0.2992,0.2739,0.2787
F2,C,0.1104,0.1104,0.2332,0.2499,0.5598,0.3158,0.5027,0.4907,0.4853
Gmean,S,0.1941,0.1941,0.4031,0.4203,0.7538,0.5026,0.7239,0.7151,0.7111
B_Acc,V,0.5427,0.5427,0.5954,0.6018,0.7701,0.6331,0.7292,0.7212,0.716
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.736,0.7317,0.71,0.7143,0.6797,0.7165,0.5541,0.669,0.6776
F1,S,0.5514,0.5443,0.5115,0.5213,0.6132,0.5225,0.5863,0.5921,0.6081
F.5,21,0.6015,0.5939,0.5497,0.575,0.5579,0.578,0.4832,0.5456,0.5558
F2,C,0.5176,0.511,0.4838,0.483,0.6863,0.4832,0.7459,0.6533,0.6772
Gmean,S,0.6425,0.6369,0.6111,0.6187,0.6851,0.6193,0.5723,0.6681,0.6808
B_Acc,V,0.6806,0.6758,0.6534,0.6551,0.6963,0.6567,0.6383,0.6777,0.6917
